candidate,coordinates,created_at,favorite_count,geo,id,lang,place,retweet_count,text,user_followers_count,user_location,user_name,user_screen_name,user_time_zone
0,Bernie Sanders,,2015-07-13 18:13:16,0,,620657258234408960,en,,0,"FYI #copolitics Republitrolls, I'm in Phoenix all week to join the Soros hive mind and plot with Bernie Sanders to take your guns. #nn15",1633,,Alan Franklin,alanfranklin,Mountain Time (US & Canada)
1,Bernie Sanders,,2015-07-13 18:13:12,0,,620657242509971456,en,,25,RT @billmckibben: It turns out Washington insiders are shocked by the popularity of @BernieSanders. Because they're so in touch! http://t.c…,84,,Joshua Jessup,joshuajessup,Pacific Time (US & Canada)
2,Bernie Sanders,,2015-07-13 18:13:06,0,,620657219177172992,en,,0,"What Bernie says about inequality that no other candidate'll touch: http://t.co/kDctQMKCUd –He prioritizes less $ to 1%, even if cuts growth",317,'Sota,WillÖstlundBildsten,wbildsten,Central Time (US & Canada)
3,Bernie Sanders,,2015-07-13 18:13:01,0,,620657195936546817,en,,0,"Clinton calls for better ""diversity"" of ISPs in the U.S.: http://t.co/0ePQ9Lq96F http://t.co/khHd0KlYuu",1733,,Daily Dot Politics,DotPolitics,
4,Bernie Sanders,,2015-07-13 18:12:58,0,,620657183114420224,en,,226,RT @thinkprogress: Bernie Sanders introduces bill to bring solar power to low-income families and minorities http://t.co/pwk8WlhA5g http://…,4627,"Orange, CA",Salina Mendoza,inababi,Alaska
0,Hillary Clinton,,2015-07-13 18:13:20,0,,620657276014206981,en,,2,RT @Sensa328: “@crazylary51: Hillary Clinton  http://t.co/1CAC51ztNX”,2673,,TRUTH_TWEETERS,TRUTH_TWEETERS,Atlantic Time (Canada)
1,Hillary Clinton,,2015-07-13 18:13:20,0,,620657275598868480,en,,0,"Hillary Clinton tackles Republican rivals head-on in economic speech: Democratic candidate attacks Jeb Bush, M... http://t.co/gWdhZiUlHK",1300,,rafaela sara,rafaelasara20,Eastern Time (US & Canada)
2,Hillary Clinton,,2015-07-13 18:13:19,0,,620657273107558400,en,,26,"RT @RichardOHornos: ▶️.@HillaryClinton to @JebBush : American workers don't need a lecture, they need a raise http://t.co/ASjJNFSlD8 #Hilla…",836,Denmark,danesforhillary,danesforhillary,
3,Hillary Clinton,,2015-07-13 18:13:17,0,,620657263288655872,en,,0,Hillary Clinton: American Wages Need to Be Higher - http://t.co/xFozLf9Lv5,230,Global,BullFax.com Markets,bullfax,
4,Hillary Clinton,,2015-07-13 18:13:17,0,,620657262072344576,pt,,1,"RT @Mombaque: vcs acham q isso de empresa ter lado é nada a ver, a Fox e a Microsoft estão nos maiores doadores da Hillary Clinton http://t…",295,Goiania-GO,Talez Roncato,Talezc,Brasilia
0,Jeb Bush,,2015-07-13 18:13:20,0,,620657275598868480,en,,0,"Hillary Clinton tackles Republican rivals head-on in economic speech: Democratic candidate attacks Jeb Bush, M... http://t.co/gWdhZiUlHK",1300,,rafaela sara,rafaelasara20,Eastern Time (US & Canada)
1,Jeb Bush,,2015-07-13 18:13:19,0,,620657273107558400,en,,26,"RT @RichardOHornos: ▶️.@HillaryClinton to @JebBush : American workers don't need a lecture, they need a raise http://t.co/ASjJNFSlD8 #Hilla…",836,Denmark,danesforhillary,danesforhillary,
2,Jeb Bush,,2015-07-13 18:13:14,0,,620657252463087616,en,,0,Jeb Bush: Not slowing down on raking in the cash http://t.co/H8llAdstIf,2323,,#Repeta_aTutio#,Oye_Junior06,Brasilia
3,Jeb Bush,,2015-07-13 18:13:12,0,,620657243537575936,en,,0,Jeb Bush: Not slowing down on raking in the cash http://t.co/PcMnR5haAh,2323,,#Repeta_aTutio#,Oye_Junior06,Brasilia
4,Jeb Bush,,2015-07-13 18:13:12,0,,620657242640007168,en,,0,#News #MostRecent Jeb Bush: Not slowing down on raking in the cash http://t.co/iNSXh6Rtmq via @CNN,1969,,iRSSNews,iRSSNews,Riyadh
0,Rand Paul,,2015-07-13 18:12:39,0,,620657105284919297,en,,0,Feels like months since i seen a Rand Paul tweet i muted all the Faggots,203,"when its dark, look for stars.",Denzel ,ImDenzelwhoareu,Arizona
1,Rand Paul,,2015-07-13 18:12:25,0,,620657043737677824,en,,2,"RT @bokauffmann: Don’t try to be original, just try to be good. — Paul Rand #quote #startup",5560,,Tech Law,StartupLawSV,Arizona
2,Rand Paul,,2015-07-13 18:10:37,0,,620656594250936320,en,,0,Sen. Rand Paul mum on Donald Trump's immigration remarks – The Courier-Journal http://t.co/24OZGdeQ7z,43,,Who Do You Like 2016,WDYL2016,Athens
3,Rand Paul,,2015-07-13 18:10:34,0,,620656581554782209,en,,0,"Rand Paul In 2007: Trans-Texas Corridor Could Lead To ""North American Union ... - BuzzFeed… http://t.co/Q9OtsG1qbG",326,,US Bankruptcy,USAbankrupt,Quito
4,Rand Paul,,2015-07-13 18:05:23,0,,620655275926618112,en,,9,RT @EWErickson: I’m actually surprised Ben Carson has out fundraised Rand Paul. http://t.co/UxuAi4vTac,1599,"Washington, DC",The Conservative HQ,ConservativeHQ_,
